product_name,total,reordered,ordered_once,reordered_percent
Organic Traditional Plain Kefir,1198,832,366,69.44908180300501
Accents Sprouted Lentil Trio,283,113,170,39.92932862190813
Genuine Chocolate Non Dairy Protein Shake,45,19,26,42.22222222222222
Italian Soda Blood Orange,7,3,4,42.857142857142854
Packets No Calorie Sweetener,420,173,247,41.19047619047619
Fat Free Raspberry Vinaigrette,22,7,15,31.818181818181817
Ultra Thin Mild Cheddar Slices,458,226,232,49.34497816593886
Organic Broccoli And Carrots,242,99,143,40.909090909090914
Premium Beer,187,97,90,51.87165775401069
"Soup, Creamy, Split Pea",93,40,53,43.01075268817204
Stool Softener Laxative,3,0,3,0.0
Sport Performance Coolzone SPF 30,21,1,20,4.761904761904762
White Sweet Potatoes,19,6,13,31.57894736842105
Pure Raw Buckwheat Honey,9,1,8,11.11111111111111
Knot Bamboo Picks,17,0,17,0.0
Organic Baking Cocoa,551,132,419,23.95644283121597
Aloo Gobi Chana Masala & Biryani Bento,62,22,40,35.483870967741936
Baby Bee Nourishing Lotion Calming,8,0,8,0.0
Plain Coconut Non-Dairy Yogurt,6,0,6,0.0
Cake Batter Frozen Dessert,217,132,85,60.82949308755761
Fresh Cut French Style Green Beans,189,98,91,51.85185185185185
Refreshe Diet Cola Soda,20,13,7,65.0
Whole Grain with Vanilla Bunches Cereal,78,26,52,33.33333333333333
Bread & Butter Spears Mildly Sweet Fresh Pack Pickles,31,10,21,32.25806451612903
Uniquely Creamy French Vanilla Frozen Yogurt,70,44,26,62.857142857142854
"Cheese, Pure Goat Milk, Plain Chef's Chevre",66,41,25,62.121212121212125
Organic Garden Blend Sprouts,22,9,13,40.909090909090914
G Series Fruit Punch Sports Drink,609,315,294,51.724137931034484
Pumpkin Fig Ancient Grain Granola,1967,1109,858,56.380274529740724
Strawberry C Monster Smoothie,1073,713,360,66.44920782851817
"Gelato Dessert, Amalfi Lemon",32,12,20,37.5
Apple Mango Applesauce On The Go Pouches,132,62,70,46.96969696969697
All In One Mocha Nutritional Shake Packet,185,72,113,38.91891891891892
Plain Salt,31,13,18,41.935483870967744
1000 Roses Cleansing Foam for Sensitive Skin,55,16,39,29.09090909090909
High Protein Vanilla Shake,78,47,31,60.256410256410255
Brussels Sprout Stalk,5,0,5,0.0
No Sugar Added Diced Peaches-Diced Pears & Mandarin Oranges Fruit,33,11,22,33.33333333333333
Whole Bean French Roast Coffee,86,44,42,51.162790697674424
"Bread, Whole Grain Spelt",153,105,48,68.62745098039215
Italian Style Bread Crumbs,363,53,310,14.600550964187327
All Purpose Strength Duct Tape,33,3,30,9.090909090909092
Dark Chocolate High Protein Bars,64,25,39,39.0625
Dal Makhani Aromatic Lentils & Beans,20,7,13,35.0
Riserva Triple Olive Puttanesca Pasta Sauce,12,6,6,50.0
Milano Slices Crunchy Almond Cookies,11,0,11,0.0
Organic Hachiya Persimmons,448,141,307,31.473214285714285
Peanut Butter Sandwich Cookies,143,71,72,49.65034965034965
Epsom Salts,226,103,123,45.57522123893805
Fridge Pack Lemonade,273,136,137,49.81684981684982
Reduced Fat Plain Goat's Milk Cheese,60,18,42,30.0
PastaJoy Brown Rice Pasta Elbow,546,258,288,47.25274725274725
Pizza Pesto with Organic Vegetables & Basil,184,88,96,47.82608695652174
Family Size All Butter Pound Cake,364,157,207,43.13186813186813
"Cabernet Sauvignon, California",55,36,19,65.45454545454545
Blackened Chicken Salad,1207,728,479,60.31483015741508
Purify & Replenish Deep Cleansing Shampoo,51,13,38,25.49019607843137
Disney Baby Hypoallergenic Laundry Detergent Free & Clear,72,25,47,34.72222222222222
Hot Dog Chili Sauce,17,6,11,35.294117647058826
Peanut Free SoyNut Butter Chocolate,7,3,4,42.857142857142854
Pineapple Spears,2372,1472,900,62.05733558178752
Snapshot Wheat Beer,20,7,13,35.0
Short (Salad) Macaroni,4,0,4,0.0
Mint Floss,138,34,104,24.637681159420293
Buffalo Chik Veggie Patties,488,286,202,58.606557377049185
Prune Juice,565,347,218,61.41592920353982
Split Chicken Breast With Ribs,29,7,22,24.137931034482758
Cranberry Almond Cashew Trail Mix,222,149,73,67.11711711711712
Breakfast Blend Medium Roast Ground Coffee,2397,1407,990,58.69837296620776
Garlic Herb Spread,3,0,3,0.0
Gourmet Red Wine Vinegar,341,49,292,14.369501466275661
Smoked 5 Spice Tofu,161,133,28,82.6086956521739
"Mist Lemon Lime Soda, Caffeine Free",175,106,69,60.57142857142858
Sticks The Pounder Pretzels,662,292,370,44.10876132930513
Organic Squeezed California Grapefruit Juice,47,20,27,42.5531914893617
Roulette Chips,5,0,5,0.0
Organic Sesame Ginger Chicken,19,2,17,10.526315789473683
Dairy Pure 1% Low Fat Milk,12,6,6,50.0
Organic Veggie Bites,346,120,226,34.68208092485549
Italian Style Roasted Peppers,135,45,90,33.33333333333333
Frosted Cherry Toaster Pastries,381,227,154,59.580052493438316
Rice Shoyu Arare Cracker,209,101,108,48.32535885167464
Affi's Aubergine Fire Roasted Eggplant & Garlic All Natural Dip,278,163,115,58.63309352517986
Organic Sweet Potato (Yam),134,46,88,34.32835820895522
Organic Dark Chocolate With Sea Salt & Cayenne,16,9,7,56.25
Fruit Burst Mixed Berry Squeezers,5,1,4,20.0
Cabernet Matinee Intense Dark Chocolate,30,14,16,46.666666666666664
Sparkling Ginger,22,10,12,45.45454545454545
Apple Fritters,41,23,18,56.09756097560976
"Cheese, Crumbles, Amish Blue",419,159,260,37.94749403341289
Oral Electrolyte Solution Strawberry,402,148,254,36.81592039800995
Organic Sweet Potato Puree,1039,430,609,41.38594802694899
Fuji Apple Juice,212,86,126,40.56603773584906
Gourmet Cut Caesar Croutons,133,47,86,35.338345864661655
Versatile Stain Remover 156 Loads,116,66,50,56.896551724137936
Original Blue Painter's Tape,65,5,60,7.6923076923076925
Sensitive Wipes,69,47,22,68.11594202898551
Cinnamon Sugar,183,42,141,22.950819672131146
100% Whole Grain Brown Rice,9,0,9,0.0
Revolver All Natural Organic Deodorant,15,6,9,40.0
"Bathroom Tissue, Fresh Lavender Scent, Double Rolls, 2-Ply",40,9,31,22.5
Dog Snacks Lean Beef Flavor,112,63,49,56.25
Japanese Buckwheat Noodles Soba,13,1,12,7.6923076923076925
Acne Solutions Gel Cleanser,6,2,4,33.33333333333333
Anchovy Fillets In Oil,239,50,189,20.920502092050206
Pistachio Biscotti,7,1,6,14.285714285714285
California Petite Sirah,9,2,7,22.22222222222222
Organic Whole Ground Flaxseed Meal,80,23,57,28.749999999999996
Cafe Cuisine Sesame Chicken,2101,1206,895,57.401237505949545
Fudge Dipped Coconut Granola Bars,17,8,9,47.05882352941176
Organic Just Peas And Spinach Baby Food Stage 2,75,40,35,53.333333333333336
Hot Wasabi Coated Green Peas,129,66,63,51.162790697674424
Adult Soft Record V Nylon Bristle Toothbrush,6,1,5,16.666666666666664
100 Calorie Variety Pack Ice Cream Bar,21,9,12,42.857142857142854
Sugar Free Raspberry Vinaigrette Dressing,8,4,4,50.0
Golden Smoked Filets of Trout,8,3,5,37.5
"Just Real Fruits & Veggies Snack Apple, Green Pea, Pineapple",5,0,5,0.0
Chicken Noodle O's Condensed Soup,336,165,171,49.107142857142854
Unbleached Self Rising Flour,135,16,119,11.851851851851853
Kosher Chicken Breasts Boneless And Skinless,226,131,95,57.9646017699115
"Mish Mash, Organic Fruit Snack, Strawberry",13,2,11,15.384615384615385
Waste Bag Dispenser,5,0,5,0.0
Whitening with Baking Soda & Tartar Control Sensitive Toothpaste,8,3,5,37.5
Apricot + Vanilla Hand Soap,325,119,206,36.61538461538461
Butter Streusel Coffee Cake,7,1,6,14.285714285714285
Chicken Formula Dog Food,34,14,20,41.17647058823529
Turkey Sausage & Roasted Vegetable Lasagna Bake Frozen Entree,11,2,9,18.181818181818183
California Grown Chopped Garlic,143,35,108,24.475524475524477
Original Apple Sauce,247,140,107,56.68016194331984
Organic Dark Chocolate Almond & Sea Salt Trail Mix Bar,168,75,93,44.642857142857146
Dairy Free Coconut Milk Yogurt Alternative,1763,1019,744,57.799205899035734
Super Moist Red Velvet Cake Mix,57,7,50,12.280701754385964
Petite Whole Green Beans,88,17,71,19.318181818181817
Quart Size Storage Bags with Click 'n Lock Double Zipper,44,13,31,29.545454545454547
Original Super Odor Killer Gel Air Freshener,256,101,155,39.453125
Natural White Organic Wine,48,26,22,54.166666666666664
Red Velvet Cake Mix,225,26,199,11.555555555555555
Assorted Herbal Teas,6,2,4,33.33333333333333
Zingers Cakes,78,44,34,56.41025641025641
Gochujang Vegan Korean Chili Sauce,26,5,21,19.230769230769234
Sliced Sour Sandwich Rolls 6 Count,48,17,31,35.41666666666667
Bold Parmesan & Garlic Vinaigrette,80,19,61,23.75
Thpst P/H Cln Gum Inv Cl,7,1,6,14.285714285714285
Grill Mates Pork Rub,16,0,16,0.0
Kumkuats,5,1,4,20.0
Medium Jalfrezi Curry Simmer Sauce,33,6,27,18.181818181818183
Frozen Concentrated Raspberry Lemonade,36,10,26,27.77777777777778
World Harbor Marinade Sriracha,4,0,4,0.0
Natural Apple Sauce Cups,2646,1475,1171,55.74452003023431
Eucalyptus Castile Liquid Soap,276,116,160,42.028985507246375
Great Northern White Beans,16,3,13,18.75
Cheddar Sharp Slices 12 ct Cheese,24,15,9,62.5
Nutri Grain Pumpkin Spice Bars,24,7,17,29.166666666666668
Maple Pecan Flakes & Clusters Cereal,5,2,3,40.0
Variety Minis with Dark Chocolate Ice Cream Bars,484,300,184,61.98347107438017
Beef Pasta Meal,53,21,32,39.62264150943396
Original Thin Crust Four Cheese Pizza,153,45,108,29.411764705882355
Sweet Hot Dog Buns,321,136,185,42.36760124610592
Steamfresh Whole Green Beans,12,1,11,8.333333333333332
Flintstones Iron Chewable Multivitamin Tablets for Children,36,18,18,50.0
Celery Hearts,13039,7588,5451,58.19464682874453
Dryer Sheets Geranium Scent,73,13,60,17.80821917808219
Burnt Caramel Tiles,23,10,13,43.47826086956522
Walnut Scrubber Sponge,73,27,46,36.986301369863014
Salt and Pepper Pistachios,51,23,28,45.09803921568628
Tropic Thunder  Coconut & Cream,1,0,1,0.0
"Burrito, Shredded Beef",46,23,23,50.0
Gold Apple Hard Cider,76,29,47,38.15789473684211
Ultra Strong Bath Tissue,300,178,122,59.333333333333336
"Laundry Detergent, 3-In-1, HE, Fragrance Free",13,5,8,38.46153846153847
Passion Punch,72,54,18,75.0
Chocolate Mint Truffle Tea,13,0,13,0.0
Disinfectant Wipes Lemon Scent,20,5,15,25.0
Organic Vegan Smoked Farmhouse Cheese,275,127,148,46.18181818181818
Laundry Liquid Free & Clear Unscented Allergen Fighting Laundry Liquid,55,17,38,30.909090909090907
Rosemary Hand Soap,782,176,606,22.506393861892583
Vanilla Wafers Cookies,44,6,38,13.636363636363635
Lavender Moisturizing Cream Shave,16,1,15,6.25
Stellar Gaze Length Strength Mineral Mascara Stardust (brown),5,0,5,0.0
Barbecue Sauce,1168,287,881,24.57191780821918
Veggie Dogs,1395,667,728,47.81362007168459
Natural Calm Plus Calcium Raspberry-Lemon Flavor,53,17,36,32.075471698113205
Peaceful Patchouli Liquid Rock Deodorant,5,0,5,0.0
Queso Chihuahua Quesadilla Cheese Shredded,994,497,497,50.0
Coffee Cake Bites,89,55,34,61.79775280898876
Organic Very Dark Chocolate 71% Cacao,13,2,11,15.384615384615385
Mango Peach Omega Swirl Omage-3 Fish Oil Supplement,24,2,22,8.333333333333332
Organic Reduced Sodium Tamari,1667,473,1194,28.374325134973006
Herbal Pastilles Cough Drops,84,14,70,16.666666666666664
Bite Size Caramel Chocolates,1,0,1,0.0
100 Calorie  Per Bag Popcorn,12822,8696,4126,67.82093277179847
"Noodles, onions & mushrooms in a sour cream sauce Beef Stroganoff Starter",3,0,3,0.0
Mandarin Orange & Grapefruit Hand Wash 12 oz,479,88,391,18.37160751565762
Low Sodium 100% Vegetable Juice,748,432,316,57.75401069518716
Midnight Moon,2290,1309,981,57.161572052401745
Bleach HydroClean Action Fresh Rapids Scent Dishwasher Detergent,97,48,49,49.48453608247423
Vitamin D3 1000 Iu Softgels,16,2,14,12.5
"Any Day Chicken Blend, All Natural Spice Blend",6,0,6,0.0
Southwest Vegetables With Ranchero Sauce,8,1,7,12.5
Animal Cookie Cup On the Go,4,0,4,0.0
Spirals with Butter & Parmesan Mac & Cheese Macaroni & Cheese Natural,144,49,95,34.02777777777778
Ranch Veggie Dip,357,144,213,40.33613445378151
Pure Clover Honey Squeeze Bear,85,28,57,32.94117647058823
Disney Frozen Pasta & Peas with a Parmesan Cheese Sauce Entree,88,37,51,42.04545454545455
Amaretti Cookies,6,2,4,33.33333333333333
Orange Chocolate Beet Smart Cookies,75,34,41,45.33333333333333
Sea Salt Caramel Sauce,13,1,12,7.6923076923076925
"Rack Roaster, Giant Oval, with Handles",37,2,35,5.405405405405405
Variety Pack Hawaiian Potato Chips,202,116,86,57.42574257425742
Oven-Roasted Turkey Breast,37,17,20,45.94594594594595
Shelled Hemp Seeds,8,0,8,0.0
Supremely Spicy Hummus,2723,1373,1350,50.42232831435916
Frosted S'mores Toaster Pastries,607,368,239,60.62602965403624
Macaroni and Cheese,2172,1251,921,57.59668508287292
Otria Greek Yogurt Veggie Dip Cucumber Dill Feta,101,35,66,34.65346534653465
Chicken & Salmon Formula Cat Food,14,7,7,50.0
Whiskas® Temptations® Seafood Medley Flavor Mega,63,37,26,58.730158730158735
Tart Apple Slices,143,68,75,47.55244755244755
Light Grey Celtic Sea Salt,10,0,10,0.0
Peppermint Multi Surface Everyday Cleaner Spray,10,3,7,30.0
Children's Allergy Orally Disintegrating Tablets Orange Crème,5,1,4,20.0
Gluten Free Waffle & Pancake Mix,117,49,68,41.88034188034188
Moroccan Lentil Pie,241,153,88,63.48547717842323
Rainbow Carrot Bunch,9,1,8,11.11111111111111
100% Natural Ginger Ale,34,8,26,23.52941176470588
Shallot,17401,8659,8742,49.76150795931268
Traditional Crust Three Meat Pizza,31,12,19,38.70967741935484
"Pasta Sauce, Traditional, Meat Flavored",12,9,3,75.0
Metallic Fine Permanent Marker,3,0,3,0.0
Cannellini Heirloom Beans,4,0,4,0.0
Sweet & Spicy Pickles,20,4,16,20.0
Dark Cacao,285,154,131,54.03508771929825
Raspberry Lime Sparkling Water,121,74,47,61.15702479338842
Freshly Shredded Parmesan Cheese,1473,798,675,54.17515274949084
7 Grain Hot Cereal,11,2,9,18.181818181818183
Kisses Milk Chocolate,242,101,141,41.735537190082646
Farmstand Pomegranate Blueberry Fruit & Vegetable  Juice,140,70,70,50.0
Vanilla Almond Coconut Almond Breeze,172,95,77,55.23255813953488
Chik'n Nuggets,3936,2635,1301,66.9461382113821
Green Goodness Fruit Smoothie + Boosts,217,122,95,56.22119815668203
Danimals Squeezables Lowfat Yogurt Strawberry Mlkshake Falvor,215,154,61,71.62790697674419
"Freshly Made. Filled with creamy Ricotta, Aged Parmesan and Romano Cheeses Whole Wheat Three Cheese Tortellini",130,50,80,38.46153846153847
Frozen Concentrated Orange Juice,79,42,37,53.16455696202531
1pk 270ct Refill,203,104,99,51.231527093596064
Red In Extra Light Syrup Grapefruit,98,49,49,50.0
The Original Potato Crisps,9,1,8,11.11111111111111
Ultra Deodorant Spray,89,40,49,44.9438202247191
"Baking Cups, Unbleached, Mini",103,18,85,17.475728155339805
Pasta Joy Ready Brown Rice Pasta Penne with Rice Bran,561,280,281,49.9108734402852
Balsamic Dressing,22,12,10,54.54545454545454
Organic Red Potato Bag,237,68,169,28.691983122362867
Very Light Absorbency Regular Length Incontinence Liners,7,1,6,14.285714285714285
100% Prune  Juice,141,84,57,59.57446808510638
"Soap, Pure-Castile, 18-in-1 Hemp, Almond",24,0,24,0.0
Slow Churned Light Chocolate Ice Cream,41,24,17,58.536585365853654
Plus Lens Solution,4,0,4,0.0
Spring Waterfall Scent Disinfectant Spray,173,44,129,25.43352601156069
Solid White Albacore Premium Tuna in Water,839,376,463,44.81525625744934
Premium Roasted Beef Base,6,0,6,0.0
Original Chili,7,2,5,28.57142857142857
Yellow Tomato,11,3,8,27.27272727272727
Black Currant Juice,266,206,60,77.44360902255639
Original Baked Snack Crackers Packs,49,18,31,36.734693877551024
Mirin Sweet Cooking Rice Wine,317,22,295,6.940063091482649
Diced Peaches in 100% Fruit Juice,1135,644,491,56.74008810572687
Icelandic Toasted Porter,6,2,4,33.33333333333333
No Sugar Added Apple Sauce To Go Packs,210,103,107,49.047619047619044
Extra Sharp Cheddar Cheese Block,261,155,106,59.38697318007663
Splash Berry Blend,5,0,5,0.0
Unsweetened Soymilk,903,686,217,75.96899224806202
Maple Sausage Links,44,19,25,43.18181818181818
Pomegranate Limeade Quencher,104,61,43,58.65384615384615
Almond Milk Blueberry Yogurt,4716,3381,1335,71.69211195928753
Ultimate Flora RTS Critical Care Probiotic,63,25,38,39.682539682539684
Chocolate Almond Bar,2,0,2,0.0
Artichoke Hearts Marinated Quartered,229,107,122,46.724890829694324
Black Bean Fiesta Crackers,37,16,21,43.24324324324324
Sandwich Crackers Variety Pack,113,68,45,60.17699115044248
"Zucchini, Spinach & Banana Blend Veggies On-The-Go Stage 2 (6 Months and Up)",19,7,12,36.84210526315789
Lactose Free Grade A Low Fat Vanilla Yogurt,354,228,126,64.40677966101694
Blackberry Serrano Yogurt,286,136,150,47.55244755244755
"Rice Roll, Crunchy, Brown Rice & White Rice",65,41,24,63.07692307692307
Pumpkin Spice Bread,19,1,18,5.263157894736842
Organic Cinnamon Apple Sauce,4391,2618,1773,59.62195399681166
Raw Cashew Butter,416,238,178,57.21153846153846
Non-Fat Goat Milk Yogurt,63,35,28,55.55555555555556
Potato Hamburger Buns,88,37,51,42.04545454545455
Zero Ion4 Grape Sports Drink,683,508,175,74.37774524158127
Deep Clean Body and Face Bar,39,11,28,28.205128205128204
Coffee Mexican Vanilla,636,379,257,59.59119496855346
Roasted Garlic & Italian Herb Breaded Fish Fillets,34,16,18,47.05882352941176
Nourishing Conditioner,5,2,3,40.0
"Cheese, Provolone",846,458,388,54.1371158392435
Pure Sport Twin Pack Deodorant,6,0,6,0.0
Sprouted Chocolate Hazelnut Spread,14,7,7,50.0
Nacho Cheese Tortilla Crisps,28,11,17,39.285714285714285
2chic Blackberry & Coconut Milk Ultra-Repair Shampoo,73,27,46,36.986301369863014
Latex Gloves,17,1,16,5.88235294117647
Mocha with Almond Milk Iced Coffee,13,4,9,30.76923076923077
Enriched Medium Grain Rice,85,29,56,34.11764705882353
Turkey & Cheese Tray,25,2,23,8.0
Berry Pomegranate Liquid Water Enhancer,211,96,115,45.497630331753555
Barbeque Potato,1269,756,513,59.57446808510638
"Creme Soap, Glyceryne, Old Fashioned Oatmeal",269,105,164,39.03345724907063
Brand Value Pack,12,0,12,0.0
Organic Mild Taco Seasoning Mix,199,48,151,24.120603015075375
Cinnamon Crunch Apple Chips,102,33,69,32.35294117647059
All-In-One French Vanilla Nutritional Shake Sachet,674,312,362,46.29080118694362
Original Crescent Rolls,3308,1431,1877,43.25876662636034
Cinnamon Streusel Coffee Cakes,195,112,83,57.43589743589743
Eco-Foil Loaf Pans & Lids (8 in x 3 7/8 in x 2 15/32 in),82,10,72,12.195121951219512
Hydro Silk Women's Disposable Razor,25,7,18,28.000000000000004
Holiday Cranberry Vanilla Herbal Tea,17,2,15,11.76470588235294
Herbal Daily Cleanse Conditioner,58,20,38,34.48275862068966
Sho Chiku Bai Nigori Sake,26,9,17,34.61538461538461
Organic Mediterranean Olive Oil,143,50,93,34.96503496503497
Fuero Wakami Dried Seaweed,6,1,5,16.666666666666664
Organic Fully Cooked Chicken & Apple Sausage,288,120,168,41.66666666666667
Shrimp Fried Rice,32,13,19,40.625
Clean Day Honeysuckle Scent Multi-Surface Cleaner,450,116,334,25.77777777777778
Organic Frozen Mixed Berries,181,74,107,40.88397790055249
Finely Ground Natural Almond Meal,731,132,599,18.057455540355676
Soothing Organic Relaxing Lavender Milk & Oat Bath,33,7,26,21.21212121212121
Seafood Salad,38,9,29,23.684210526315788
"Cloth, All Purpose Blister Card 1\"" X 10 Yds. First Aid Tapes Non-Dispenser",18,1,17,5.555555555555555
Bourbon Molasses Mustard,3,0,3,0.0
Light Corn Syrup,60,7,53,11.666666666666666
Spiced Chai Tea Latte Concentrate,6,3,3,50.0
Balsamic Vinegar from Modena,67,9,58,13.432835820895523
White Foil,3,0,3,0.0
Maca Powder,523,134,389,25.621414913957935
Classic Dinner Rolls,120,40,80,33.33333333333333
Pure Premium Orange Juice Lots Of Pulp Calcium + Vitamin D,790,457,333,57.848101265822784
Bait Station Corner Fit With 4 Refills,5,3,2,60.0
English Teatime Black Tea,147,56,91,38.095238095238095
Spare CO2 Carbonator,14,2,12,14.285714285714285
Deluxe Nut Mix,244,129,115,52.86885245901639
Original Almondmilk Non Dairy Milk Alternative,15,1,14,6.666666666666667
Homestyle Patty Meal,6,3,3,50.0
Botanique Purifying Neem & Turmeric Handcrafted Soap Bar,7,1,6,14.285714285714285
Phoenix Antiperspirant Stick,71,22,49,30.985915492957744
Boston Creme Pie Milano Melts,22,9,13,40.909090909090914
Sea Salt & Pepper Large Baked Croutons,5,0,5,0.0
Original Hermits Cookies,19,13,6,68.42105263157895
Candy Canes Red & White Mint Canes,63,4,59,6.349206349206349
Original Snack Crackers,541,283,258,52.31053604436229
Kit Kat Ice Cream,4,1,3,25.0
Crab Delights Imitation Flake Style Crab Meat,87,34,53,39.08045977011494
NyQuil Cold & Flu Nighttime Relief Original Flavor Liquid,35,7,28,20.0
Pink Lady (Cripps) Apple Bag,12,3,9,25.0
Santa Barbara Mild Salsa,169,61,108,36.09467455621302
Basil Garlic & Oregano Tomato Paste,35,11,24,31.428571428571427
"Bread Crumbs, Panko, Seasoned Italian Style",8,0,8,0.0
Gluten-Free Yellow Cheddar Cheese Sauce Mix,18,6,12,33.33333333333333
Unsalted Tops Saltine Crackers,422,197,225,46.682464454976305
Special K Moments Dreamy Coconut Indulgent Snack Bites,11,5,6,45.45454545454545
Mightly Absorbent Premium Paper Towels,112,62,50,55.35714285714286
Pure Spanish Saffron,70,7,63,10.0
Organic Elmo Noodlemania Soup,922,626,296,67.89587852494577
Medicated Lip Balm SPF 15,30,8,22,26.666666666666668
Sport Chocolate Peanut Butter Protein Bar,382,254,128,66.49214659685863
Dairy Pure Fresh Half And Half,84,32,52,38.095238095238095
Chcolate Chip Take and Bake Cookie Dough,17,7,10,41.17647058823529
Cinnamon Toast Crunch Cereal,131,83,48,63.358778625954194
Tropical Remix Sugar-Free Gum,12,6,6,50.0
"Containers + Lids, Mini Deep Squares, Cups",8,1,7,12.5
Signature Mint Scent Body Wash,33,7,26,21.21212121212121
"Frozen Fruit & Vegetable Pops, Orbit Orange",55,17,38,30.909090909090907
95% Fat Free Bologna,23,13,10,56.52173913043478
"Steam Fresh Lightly Sauced Broccoli, Cauliflower & Carrots",72,18,54,25.0
Brightening Facial Scrub Sea Kelp + CGF,319,73,246,22.884012539184955
Organic Large Brown Eggs,14255,10971,3284,76.96246930901438
Vanilla Caramels,69,53,16,76.81159420289855
"Chambord French Press, 8 Cup",12,0,12,0.0
Sliced Nacho Jalapeno Peppers,20,2,18,10.0
"Claret, Black Label, 2006",133,65,68,48.87218045112782
Peshwari Style Chicken Tikka Cooking Sauce,6,0,6,0.0
Mild Cheddar,244,145,99,59.42622950819673
Ponytail Holders,2,0,2,0.0
2% Milk Reduced Fat Cheese,187,45,142,24.06417112299465
Pure Squeezed Light Orange Juice No Pulp Juice Beverage,47,30,17,63.829787234042556
Spicy and Sweet Pickles,56,20,36,35.714285714285715
Fireside Apples,17,5,12,29.411764705882355
Beef Franks In Puff Pastry,6,1,5,16.666666666666664
Filet Mignon Canine Cuisine Wet Dog Food,365,251,114,68.76712328767123
Total with Cherry Greek Strained Yogurt,1173,862,311,73.48678601875532
GoLean Creamy All Natural Truly Vanilla Instant Hot Cereal,16,5,11,31.25
Heart Healthy Italian Style White Bean & Chicken Sausage,13,0,13,0.0
Tub & Tile Natural Cleaner Emerald Cypress & Fir,166,18,148,10.843373493975903
Plain Brownies,160,69,91,43.125
Shower Tub & Tile Cleaner with Oxy Clean,222,37,185,16.666666666666664
Strawberry Fruit Strips,183,91,92,49.72677595628415
Matcha,15,1,14,6.666666666666667
Smart Ones Bacon Macaroni and Cheese,5,0,5,0.0
Budweiser,49,30,19,61.224489795918366
Mousse Du Perigod,46,23,23,50.0
Deli-Sliced Hot Jalapeño Peppers,714,258,456,36.134453781512605
Crescent Dough Sheet,110,23,87,20.909090909090907
Half Boneless Ham,7,0,7,0.0
Organic Lemon Peel,7,1,6,14.285714285714285
Mango Melon Drink Life Water,8,3,5,37.5
Organic Roots Veggie Chips,256,122,134,47.65625
8 Piece Grilled Chicken,16,7,9,43.75
"Pods HE Laundry Detergent, Free & Gentle, 35 Count Laundry",179,82,97,45.81005586592179
Swiss Style Slices cheese alternative,34,15,19,44.11764705882353
Thousand Island Salad Dressing & Dip,35,21,14,60.0
Extra Virgin Avocado Oil,34,4,30,11.76470588235294
Instant Clarity Clay Facial Mask,50,7,43,14.000000000000002
Dairy Free Rice Vegan Slices American Flavor,24,7,17,29.166666666666668
Butter Pecan,8,2,6,25.0
All In One Coconut Almond Packet,210,65,145,30.952380952380953
Lemon Lime Mexican Soda,53,13,40,24.528301886792452
Baked Parmesan Garlic Lentil Chips,12,0,12,0.0
Deep Dish Four-Cheese Pizza Singles,337,197,140,58.45697329376854
Natural Unscented Oatmeal Soap Bar,133,47,86,35.338345864661655
Neufchatel Cheese 1/3 Less Fat,328,82,246,25.0
Steamed Brown Rice,39,11,28,28.205128205128204
Orange Smart Fiber Powder,5,1,4,20.0
Bistro Organic Caesar Salad Bowl with Chicken,17,9,8,52.94117647058824
"Organic Chicken Noodle Soup, Reduced Sodium",1393,532,861,38.19095477386934
Buffalo Style Chicken,24,17,7,70.83333333333334
Bombay Spice Crunchy Chickpeas,662,267,395,40.33232628398791
Olive Oil Sea Salt Bar,86,64,22,74.4186046511628
Organic Fruit Snacks,386,167,219,43.26424870466321
Organic Apple Cider Vinegar & Honey All Natural Drink,626,392,234,62.61980830670927
Spicy Chili Seasoning,753,255,498,33.86454183266932
Plain Noodles With Morohetya,243,153,90,62.96296296296296
Clara,746,350,396,46.91689008042895
Herb & Garlic Marinade,10,2,8,20.0
Peppermint Patties Minis King Size,10,5,5,50.0
Salted Pretzel Sticks,756,510,246,67.46031746031747
Chocolate Chunk Cookies,382,200,182,52.35602094240838
Cilantro Paste,166,26,140,15.66265060240964
Organic Cannellini Beans,7890,3508,4382,44.461343472750315
Dark Chocolate Covered Salted Almonds,258,133,125,51.55038759689923
Sauce Chipotle Tinga Chicken Slow Cook,87,23,64,26.436781609195403
Mozzarella Sticks With Marinara Sauce,354,164,190,46.32768361581921
"Ham, Parma, Prosciutto di Parma",89,46,43,51.68539325842697
Organic Seaweed Gomasio,138,36,102,26.08695652173913
Passion Fruit Wheatgrass Juice,2,0,2,0.0
Traditional Chicken Noodle 99% Fat Free Soup,361,177,184,49.03047091412742
Chili Pepper Paste,8,1,7,12.5
Mini Peanut Butter Sandwich Crackers,2472,1692,780,68.44660194174757
Super Strong Paper Plates,5,1,4,20.0
Aloe Vera,7,2,5,28.57142857142857
Slow Cooker Sauces Beef Stew,20,3,17,15.0
Shredded Steak & Cheese Burrito,65,16,49,24.615384615384617
Free & Gentle Liquid Laundry Detergent,322,142,180,44.099378881987576
Organic Hot Sauce,6,2,4,33.33333333333333
SystemSupport Liver Cleanse Capsules,6,1,5,16.666666666666664
Sliced Yellow Cling in Heavy Syrup Peaches,35,14,21,40.0
Gourmet 100 Calorie 100% Whole Wheat Tortillas,82,38,44,46.34146341463415
Hearty Traditional Pasta Sauce,46,18,28,39.130434782608695
Jumbo Pitted California Ripe Olives,59,25,34,42.3728813559322
